Postal Code,Place Name,Province,Latitude,Longitude,Other Riding
A1S,Goulds,Newfoundland and Labrador,47.462,-52.7895,1
A1V,Gander,Newfoundland and Labrador,48.9632,-54.6169,1
A1W,Manuels,Newfoundland and Labrador,47.5329,-52.9132,1
A1X,Conception Bay,Newfoundland and Labrador,47.5238,-52.9595,1
A1Y,Carbonear,Newfoundland and Labrador,48.9268,-55.6613,1
A2A,Grand Falls,Newfoundland and Labrador,48.9249,-55.6493,1
A2B,Windsor,Newfoundland and Labrador,48.949,-55.6725,1
A2H,Corner Brook,Newfoundland and Labrador,48.9654,-57.9225,1
A2N,Stephenville,Newfoundland and Labrador,48.5656,-58.6,1
A2V,Labrador City,Newfoundland and Labrador,52.9348,-66.9145,1
A5A,Clarenville,Newfoundland and Labrador,48.1666,-53.9628,1
A8A,Deer Lake,Newfoundland and Labrador,49.1778,-57.413,1
B0C,North Victoria County (Dingwall),Nova Scotia,46.2811,-60.2825,2
B0E,West Cape Breton Island (Baddeck),Nova Scotia,45.5148,-60.966,2
B0H,Canso region (Havre Boucher),Nova Scotia,45.6051,-61.6975,2
B0J,Mainland east shore (Lunenburg),Nova Scotia,45.1458,-61.8108,2
B0K,Southern Northumberland Strait (Pictou),Nova Scotia,45.5808,-62.1969,2
B0L,Isthmus of Chignecto (River H_bert),Nova Scotia,45.5802,-64.6646,2
B0M,Cobequid Bay north shore (Springhill),Nova Scotia,45.3317,-64.7596,2
B0N,Hants County (Shubenacadie),Nova Scotia,44.8794,-63.7254,2
B0P,Kings County (Kingston),Nova Scotia,45.0191,-64.8882,2
B0R,West Lunenburg County (New Germany),Nova Scotia,44.7424,-65.5111,2
B0S,West Annapolis County (Middleton),Nova Scotia,44.6491,-65.5472,2
B0T,Queens County (Shelburne),Nova Scotia,43.7029,-65.1119,2
B0V,Digby Neck (Digby),Nova Scotia,44.03,-65.9445,2
B0W,Southwest Mainland (Weymouth),Nova Scotia,43.8187,-65.9517,2
B1A,Glace Bay,Nova Scotia,46.1794,-59.9477,2
B1B,Port Morien,Nova Scotia,46.1365,-59.8717,2
B1C,Louisbourg,Nova Scotia,46.2152,-60.2452,2
B1E,Reserve Mines,Nova Scotia,46.2003,-60.0215,2
B1G,Dominion,Nova Scotia,46.2063,-60.0255,2
B1H,New Waterford,Nova Scotia,46.2295,-60.0941,2
B1J,East Bay,Nova Scotia,45.8365,-60.4435,2
B1K,Marion Bridge,Nova Scotia,46.1309,-60.1864,2
B1L,Sydney Southwest,Nova Scotia,46.0911,-60.2462,2
B1M,Sydney East,Nova Scotia,46.169,-60.1013,2
B1N,Sydney North,Nova Scotia,46.167,-60.1943,2
B1P,Sydney North Central,Nova Scotia,46.1337,-60.1939,2
B1R,Sydney West,Nova Scotia,46.1224,-60.2236,2
B1S,Sydney Central,Nova Scotia,46.1334,-60.1947,2
B1T,Christmas Island,Nova Scotia,46.1122,-60.2372,2
B1V,North Sydney North,Nova Scotia,46.2383,-60.2165,2
B1W,Eskasoni,Nova Scotia,45.9245,-60.6449,2
B1X,Big Bras d'Or,Nova Scotia,46.2667,-60.4333,2
B1Y,Alder Point,Nova Scotia,46.1811,-60.5067,2
B2A,North Sydney South Central,Nova Scotia,46.2397,-60.0998,2
B2C,Iona,Nova Scotia,45.6218,-62.0004,2
B2E,Loch Lomond,Nova Scotia,45.6272,-61.9977,3
B2G,Antigonish,Nova Scotia,45.6243,-61.9996,3
B2H,New Glasgow,Nova Scotia,45.5937,-62.6585,3
B2J,Fourchu,Nova Scotia,45.3747,-63.2951,3
B2N,Truro,Nova Scotia,45.3486,-63.3029,3
B2R,Waverley,Nova Scotia,44.7431,-63.5144,3
B2S,Lantz,Nova Scotia,44.9775,-63.4209,3
B2T,Enfield,Nova Scotia,44.8488,-63.5999,3
B2V,Dartmouth Morris Lake,Nova Scotia,44.669,-63.5019,3
B2W,Dartmouth East Central,Nova Scotia,44.6449,-63.5433,3
B2X,Dartmouth North Central,Nova Scotia,44.6829,-63.5442,3
B2Y,Dartmouth South Central,Nova Scotia,44.7314,-63.6482,3
B2Z,Dartmouth East,Nova Scotia,44.7104,-63.4759,3
B3A,Dartmouth Southwest,Nova Scotia,44.6663,-63.5763,3
B3B,Dartmouth Northwest,Nova Scotia,44.6886,-63.6076,3
B3E,Porters Lake,Nova Scotia,44.7227,-63.3973,3
B3G,Eastern Passage,Nova Scotia,44.6156,-63.4929,3
B3H,Halifax Lower Harbour,Nova Scotia,44.6224,-63.5736,3
B3J,Halifax Mid-Harbour Nova Scotia Provincial Government,Nova Scotia,44.641,-63.5682,3
B3K,Halifax Upper Harbour,Nova Scotia,44.6514,-63.5818,3
B3L,Halifax Central,Nova Scotia,44.6464,-63.5929,3
B3M,Halifax Bedford Basin,Nova Scotia,44.6617,-63.6291,3
B3N,Halifax South Central,Nova Scotia,44.6327,-63.6219,3
B3P,Halifax North West Arm,Nova Scotia,44.6284,-63.596,3
B3R,Halifax South,Nova Scotia,44.5829,-63.5671,3
B3S,Halifax West,Nova Scotia,44.6408,-63.6723,3
B3T,Lakeside,Nova Scotia,44.6404,-63.6888,3
B3V,Harrietsfield,Nova Scotia,44.5682,-63.6177,3
B3Z,Tantallon,Nova Scotia,44.5539,-63.8307,3
B4A,Bedford Southeast,Nova Scotia,44.7089,-63.6676,3
B4B,Bedford Northwest,Nova Scotia,44.7235,-63.6899,3
B4C,Lower Sackville South,Nova Scotia,44.7765,-63.6854,3
B4E,Lower Sackville West,Nova Scotia,44.7803,-63.6916,3
B4G,Lower Sackville North,Nova Scotia,44.805,-63.667,3
B4H,Amherst,Nova Scotia,45.8353,-64.2182,3
B4N,Kentville,Nova Scotia,45.0899,-64.4963,4
B4P,Wolfville,Nova Scotia,45.0917,-64.3599,4
B4R,Coldbrook,Nova Scotia,44.3695,-64.5197,4
B4V,Bridgewater,Nova Scotia,44.3683,-64.506,4
B5A,Yarmouth,Nova Scotia,43.8245,-66.1207,4
B9A,Port Hawkesbury,Nova Scotia,45.612,-61.3486,4
C0A,Montague,Prince Edward Island,46.1668,-62.6487,4
C0B,Prince County (Portage),Prince Edward Island,46.3182,-63.5586,4
C1A,Charlottetown Southeast Prince Edward Island Provincial Government,Prince Edward Island,46.2318,-63.1192,4
C1B,Stratford,Prince Edward Island,46.2067,-63.0729,4
C1C,Charlottetown North,Prince Edward Island,46.2688,-63.1097,4
C1E,Charlottetown West,Prince Edward Island,46.2607,-63.16,4
C1N,Summerside,Prince Edward Island,46.3907,-63.7868,4
E1A,Dieppe Moncton East,New Brunswick,46.0625,-64.7105,4
E1B,Riverview,New Brunswick,46.0738,-64.755,4
E1C,Moncton Central,New Brunswick,46.0888,-64.7723,4
E1E,Moncton West,New Brunswick,46.0599,-64.844,4
E1G,Moncton Northwest,New Brunswick,46.1117,-64.834,4
E1H,"Lakeville, Shediac Bridge",New Brunswick,46.1506,-64.6799,4
E1J,Coverdale,New Brunswick,45.9829,-64.8634,4
E1N,Miramichi South,New Brunswick,47.0155,-65.5071,4
E1V,Miramichi North,New Brunswick,47.0085,-65.5833,4
E1W,Caraquet,New Brunswick,47.7624,-65.0324,4
E1X,Tracadie-Sheila,New Brunswick,47.4883,-64.9189,4
E2A,Bathurst,New Brunswick,47.6605,-65.6414,4
E2E,"Rothesay, Quispamsis",New Brunswick,45.4165,-65.9913,4
E2G,Quispamsis,New Brunswick,45.4397,-65.9392,4
E2H,"Saint John Northeast, Renforth",New Brunswick,45.3481,-66.0186,4
E2J,Saint John East,New Brunswick,45.286,-66.0421,4
E2K,Saint John North,New Brunswick,45.2746,-66.0871,4
E2L,Saint John Central,New Brunswick,45.2742,-66.0645,4
E2M,Saint John West,New Brunswick,45.2758,-66.0845,4
E2N,Saint John Lakewood,New Brunswick,45.3151,-65.9615,4
E2P,Saint John Red Head,New Brunswick,45.2488,-66.0025,4
E2R,Saint John Grandview,New Brunswick,45.2735,-66.0099,4
E2S,Saint John Loch Lomond,New Brunswick,45.3679,-65.9564,5
E2V,Oromocto,New Brunswick,45.8509,-66.467,5
E3A,Fredericton North,New Brunswick,45.9784,-66.6905,5
E3B,Fredericton South New Brunswick Provincial Government,New Brunswick,45.9535,-66.6704,5
E3C,"Fredericton Southwest, New Maryland",New Brunswick,45.9356,-66.6609,5
E3E,Kingsclear,New Brunswick,45.8134,-66.932,5
E3L,St. Stephen,New Brunswick,45.1728,-67.2946,5
E3N,Campbellton,New Brunswick,48.0091,-66.6707,5
E3V,Edmundston,New Brunswick,47.3614,-68.3218,5
E3Y,Grand Falls Northeast,New Brunswick,47.052,-67.7368,5
E3Z,Grand Falls Central,New Brunswick,47.0471,-67.7527,5
E4A,Bathurst,New Brunswick,46.1655,-65.872,5
E4B,Minto,New Brunswick,45.9393,-66.09,5
E4C,Youngs Cove,New Brunswick,45.808,-65.9652,5
E4E,Sussex,New Brunswick,45.7223,-65.5108,5
E4G,Smiths Creek,New Brunswick,45.9078,-65.5334,5
E4H,Hillsborough,New Brunswick,45.9078,-64.8245,5
E4J,Salisbury,New Brunswick,45.9787,-64.9898,5
E4K,Dorchester,New Brunswick,46.0477,-64.6202,5
E4L,Sackville,New Brunswick,45.8919,-64.3699,5
E4M,Bayfield,New Brunswick,46.0957,-63.9068,5
E4N,Cap-Pel_,New Brunswick,46.2313,-64.2615,5
E4P,Shediac,New Brunswick,46.2165,-64.5128,5
E4R,Cocagne,New Brunswick,46.2324,-64.785,5
E4S,Bouctouche,New Brunswick,46.4171,-64.9241,5
E4T,Bass River,New Brunswick,46.3026,-64.9648,5
E4V,Saint-Antoine,New Brunswick,46.3131,-64.5853,5
E4W,Richibucto,New Brunswick,46.6493,-64.8842,5
E4X,St-Louis-de-Kent,New Brunswick,46.735,-64.9744,5
E4Y,Rogersville,New Brunswick,46.7333,-65.4489,5
E4Z,Petitcodiac,New Brunswick,45.751,-65.048,5
E5A,Moores Mills,New Brunswick,45.2441,-66.9929,5
E5B,St. Andrews,New Brunswick,45.0732,-67.0428,5
E5C,St. George,New Brunswick,45.2441,-66.9929,5
E5E,Campobello Island,New Brunswick,44.887,-66.95,5
E5G,Grand Manan Island,New Brunswick,44.6586,-66.8625,6
E5H,Pennfield,New Brunswick,45.0766,-66.77,6
E5J,Lepreau,New Brunswick,45.2116,-66.3491,6
E5K,Grand Bay-Westfield,New Brunswick,45.331,-66.2095,6
E5L,Fredericton Junction,New Brunswick,45.5281,-66.511,6
E5M,Gagetown,New Brunswick,45.6287,-66.1751,6
E5N,Hampton,New Brunswick,45.5263,-65.8155,6
E5P,Apohaqui,New Brunswick,45.8489,-65.788,6
E5R,St. Martins,New Brunswick,45.3849,-65.6331,6
E5S,Kingston,New Brunswick,45.3571,-66.0858,6
E5T,Norton,New Brunswick,45.6769,-65.884,6
E5V,Deer Island,New Brunswick,45.0481,-66.9556,6
E6A,Boiestown,New Brunswick,46.2767,-66.7384,6
E6B,Stanley,New Brunswick,46.2324,-66.6683,6
E6C,Durham Bridge,New Brunswick,45.9523,-66.6717,6
E6E,Millville,New Brunswick,46.1296,-67.1953,6
E6G,Nackawic,New Brunswick,45.9942,-67.2397,6
E6H,Canterbury,New Brunswick,45.7207,-67.6516,6
E6J,McAdam,New Brunswick,45.5927,-67.2973,6
E6K,Harvey,New Brunswick,45.6975,-66.9557,6
E6L,Burtts Corner,New Brunswick,46.12,-66.9477,6
E7A,Baker Brook,New Brunswick,47.2542,-68.7211,6
E7B,Saint-Jacques,New Brunswick,47.4785,-68.415,6
E7C,Saint-Basile,New Brunswick,47.3516,-68.2208,6
E7E,Saint-Leonard,New Brunswick,47.1717,-67.925,6
E7G,Plaster Rock,New Brunswick,46.9097,-67.3971,6
E7H,Perth-Andover,New Brunswick,46.7284,-67.7057,6
E7J,Bath,New Brunswick,46.5082,-67.5871,6
E7K,Centreville,New Brunswick,46.4328,-67.7105,6
E7L,Florenceville,New Brunswick,46.4418,-67.63,6
E7M,Woodstock,New Brunswick,46.1368,-67.5817,6
E7N,Debec,New Brunswick,46.0089,-67.7236,6
E7P,Hartland,New Brunswick,46.3709,-67.445,6
E8A,Saint-Quentin,New Brunswick,47.5021,-67.3897,6
E8B,Kedgwick,New Brunswick,47.6454,-67.3437,6
E8C,Dalhousie,New Brunswick,48.0477,-66.4004,7
E8E,Balmoral,New Brunswick,47.9879,-66.5145,7
E8G,Belledune,New Brunswick,47.8741,-65.9102,7
E8J,Petit-Rocher,New Brunswick,47.7634,-65.8276,7
E8K,Beresford,New Brunswick,47.6736,-65.6795,7
E8L,Allardville,New Brunswick,47.5887,-65.0979,7
E8M,Saint-Isidore,New Brunswick,47.8022,-65.1862,7
E8N,Grande-Anse,New Brunswick,47.8219,-65.0917,7
E8P,Inkerman,New Brunswick,47.6656,-64.9543,7
E8R,Paquetville,New Brunswick,47.7443,-64.7222,7
E8S,Shippagan,New Brunswick,47.7456,-64.7143,7
E8T,Lam_que,New Brunswick,47.792,-64.652,7
E9A,Baie-Sainte-Anne,New Brunswick,46.7385,-65.8528,7
E9B,Blackville,New Brunswick,46.7772,-65.8638,7
E9C,Doaktown,New Brunswick,46.4477,-66.2584,7
E9E,Red Bank,New Brunswick,46.9795,-65.6715,7
E9G,Neguac,New Brunswick,47.2316,-65.1378,7
E9H,Brantville,New Brunswick,47.3272,-65.011,7
G0A,Capitale-Nationale (Stoneham),Quebec,46.8524,-72.0259,7
G0B,Cap-aux-Meules,Quebec,47.3983,-61.7742,7
G0C,Gasp_sie-Sud (New Richmond),Quebec,48.1496,-65.7053,7
G0E,Gasp_sie-Nord (Grande-Vall_e),Quebec,48.9298,-64.3438,7
G0G,C_te-Nord/Anticosti (Schefferville),Quebec,50.1169,-62.4136,7
G0H,Manicouagan (Baie-Trinit_),Quebec,49.1633,-68.3335,7
G0J,Gasp_sie-Ouest (Causapscal),Quebec,49.0226,-66.8158,7
G0K,Bas-St-Laurent- Est (Sainte-Luce),Quebec,48.3473,-68.3948,7
G0L,Bas-St-Laurent- Ouest (Trois-Pistoles),Quebec,47.6843,-68.8681,7
G0M,R_gion de Beauce (Saint-Prosper-De- Dorchester),Quebec,46.2057,-70.8326,7
G0N,Chaudi_re-Sud (Disraeli),Quebec,46.0651,-71.4352,7
G0P,Centre-du- Qu_bec-Est (Saint-Val_re),Quebec,45.8641,-71.6523,7
G0R,Appalaches (La Pocati_re),Quebec,46.9055,-70.7456,7
G0S,Chaudi_re-Nord (Saint-Joseph- De-Beauce),Quebec,46.2635,-70.7929,7
G0T,Le Fjord (Forestville),Quebec,47.6525,-70.4067,7
G0V,Saguenay- Lac-St-Jean (Alouette),Quebec,48.3448,-70.9869,7
G0W,R_gion de Mistassini (Chambord),Quebec,48.8854,-72.4433,7
G0X,Mauricie (Parent),Quebec,46.6996,-72.643,8
G0Y,L'Erable (Nantes),Quebec,45.6544,-71.0379,8
G0Z,Centre-du- Qu_bec-Nord (Daveluyville),Quebec,46.152,-72.1347,8
G1A,Quebec Provincial Government,Quebec,46.9181,-71.2036,8
G1B,Beauport North,Quebec,46.9179,-71.1964,8
G1C,Beauport Central,Quebec,46.8886,-71.2212,8
G1E,Beauport South,Quebec,46.876,-71.192,8
G1G,Jean-Talon Southeast,Quebec,46.8921,-71.3056,8
G1H,Charlesbourg South,Quebec,46.8615,-71.2698,8
G1J,Quebec City Lower Riverbank,Quebec,46.8483,-71.234,8
G1K,Quebec City Mid-Riverbank,Quebec,46.8143,-71.2431,8
G1L,Quebec City Northeast,Quebec,46.8396,-71.2506,8
G1M,Quebec City North Central,Quebec,46.8165,-71.236,8
G1N,Quebec City South Central,Quebec,46.81,-71.2526,8
G1P,Quebec City West,Quebec,46.8257,-71.331,8
G1R,Quebec City East,Quebec,46.8128,-71.2194,8
G1S,Quebec City South,Quebec,46.7867,-71.2436,8
G1T,Quebec City Upper Riverbank,Quebec,46.7863,-71.2579,8
G1V,Sainte-Foy Northeast,Quebec,46.789,-71.2936,8
G1W,Sainte-Foy Southeast,Quebec,46.7673,-71.2857,8
G1X,Sainte-Foy West,Quebec,46.7828,-71.3149,8
G1Y,Cap-Rouge,Quebec,46.7595,-71.3433,8
G2A,Loretteville North,Quebec,46.8681,-71.3787,8
G2B,Loretteville South,Quebec,46.8569,-71.3506,8
G2C,Quebec City Northwest,Quebec,46.8342,-71.3463,8
G2E,L'Ancienne- Lorette Northeast,Quebec,46.8175,-71.371,8
G2G,L'Ancienne- Lorette Southwest,Quebec,46.8119,-71.3906,8
G2J,Quebec City Inner North,Quebec,46.8428,-71.2774,8
G2K,Quebec City Outer North,Quebec,46.8105,-71.2426,8
G2L,Charlesbourg North,Quebec,46.8921,-71.2732,8
G2M,Jean-Talon Northeast,Quebec,46.9159,-71.3163,8
G2N,Jean-Talon West,Quebec,46.9338,-71.3446,8
G3A,St-Augustin- De-Desmaures,Quebec,46.7529,-71.3734,8
G3E,Saint-êmile,Quebec,46.8765,-71.3233,8
G3G,Lac-Saint-Charles,Quebec,46.9445,-71.4133,8
G3H,Pont-Rouge,Quebec,46.756,-71.6969,9
G3J,Val-B_lair North,Quebec,46.8617,-71.4241,9
G3K,Val-B_lair South,Quebec,46.8388,-71.3998,9
G3L,Saint-Raymond,Quebec,46.8897,-71.8349,9
G3M,Donnacona,Quebec,46.6725,-71.7368,9
G3Z,Baie-Saint-Paul,Quebec,47.4454,-70.5199,9
G4A,Clermont,Quebec,47.695,-70.2239,9
G4R,Sept-_les Southeast,Quebec,50.2206,-66.3581,9
G4S,Sept-_les Northwest,Quebec,50.2309,-66.3901,9
G4T,Les _les-De-La- Madeleine,Quebec,47.5371,-61.5387,9
G4V,Sainte-Anne- Des-Monts,Quebec,49.1283,-66.4906,9
G4W,Matane,Quebec,48.8526,-67.518,9
G4X,Gasp_,Quebec,48.8319,-64.4813,9
G4Z,Baie-Comeau Northeast,Quebec,49.2446,-68.1442,9
G5A,La Malbaie,Quebec,47.6259,-70.0967,9
G5B,Port-Cartier,Quebec,50.0382,-66.8659,9
G5C,Baie-Comeau Southwest,Quebec,49.1962,-68.2976,9
G5H,Mont-Joli,Quebec,48.5949,-68.1883,9
G5J,Amqui,Quebec,48.4584,-67.4333,9
G5L,Rimouski Central,Quebec,48.4525,-68.5232,9
G5M,Rimouski Northeast,Quebec,48.4547,-68.4973,9
G5N,Rimouski Southwest,Quebec,48.4277,-68.5122,9
G5R,Rivi_re-du-Loup,Quebec,47.8559,-69.5376,9
G5T,Degelis,Quebec,47.5521,-68.6441,9
G5V,Montmagny,Quebec,46.9984,-70.5595,9
G5X,Beauceville,Quebec,46.2093,-70.7788,9
G5Y,Saint-Georges Central,Quebec,46.13,-70.6557,9
G5Z,Saint-Georges Southeast,Quebec,46.1231,-70.647,9
G6A,Saint-Georges Northwest,Quebec,46.1379,-70.6715,9
G6B,Lac-Megantic,Quebec,45.5946,-70.9176,9
G6C,Pintendre,Quebec,46.7557,-71.124,9
G6E,Sainte-Marie,Quebec,46.4691,-71.0427,9
G6G,Thetford Mines,Quebec,46.1134,-71.3108,9
G6H,Black Lake,Quebec,46.0654,-71.356,9
G6J,Saint-Etienne- De-Lauzon,Quebec,46.6561,-71.3095,9
G6K,Saint- Redempteur,Quebec,46.7038,-71.2837,10
G6L,Plessisville,Quebec,46.2255,-71.7779,10
G6P,Victoriaville Central,Quebec,46.0606,-71.9477,10
G6R,Victoriaville South,Quebec,46.0388,-71.9596,10
G6S,Victoriaville East,Quebec,46.0714,-71.9332,10
G6T,Victoriaville Northwest,Quebec,46.0477,-71.9549,10
G6V,L_vis North,Quebec,46.8207,-71.1787,10
G6W,L_vis South,Quebec,46.7933,-71.1885,10
G6X,Charny,Quebec,46.7228,-71.2788,10
G6Z,Saint-Jean- Chrysostome,Quebec,46.7391,-71.2055,10
G7A,Saint-Nicolas,Quebec,46.6709,-71.3548,10
G7B,La Baie,Quebec,48.3133,-70.8557,10
G7G,Chicoutimi North,Quebec,48.4572,-71.0591,10
G7H,Chicoutimi East,Quebec,48.4337,-71.0225,10
G7J,Chicoutimi West,Quebec,48.4377,-71.1244,10
G7K,Chicoutimi Southwest,Quebec,48.3976,-71.11,10
G7N,Laterri_re,Quebec,48.3084,-71.1104,10
G7P,Saint-Ambroise,Quebec,48.51,-71.268,10
G7S,Jonqui_re Northeast,Quebec,48.4099,-71.1961,10
G7T,Jonqui_re Southeast,Quebec,48.4112,-71.2149,10
G7X,Jonqui_re Central,Quebec,48.4359,-71.2318,10
G7Y,Jonqui_re Southwest,Quebec,48.3933,-71.267,10
G7Z,Jonqui_re Northwest,Quebec,48.4327,-71.262,10
G8A,Jonqui_re West,Quebec,48.4244,-71.2619,10
G8B,Alma Southeast,Quebec,48.5468,-71.6399,10
G8C,Alma Southwest,Quebec,48.5292,-71.642,10
G8E,Alma North,Quebec,48.5592,-71.6416,10
G8G,M_tabetchouan- Lac-a-la-Croix,Quebec,48.4223,-71.8737,10
G8H,Roberval,Quebec,48.5044,-72.2165,10
G8J,Saint-Prime,Quebec,48.5774,-72.441,10
G8K,Saint-F_licien,Quebec,48.6556,-72.4469,10
G8L,Dolbeau- Mistassini,Quebec,48.8707,-72.2141,10
G8M,Albanel,Quebec,48.8892,-72.1938,10
G8N,H_bertville,Quebec,48.3942,-71.6775,10
G8P,Chibougamau,Quebec,49.9214,-74.3601,10
G8T,Cap-de-la- Madeleine Central and southeast,Quebec,46.419,-72.6006,11
G8V,Cap-de-la- Madeleine Northeast,Quebec,46.3887,-72.4875,11
G8W,Cap-de-la- Madeleine West,Quebec,46.4024,-72.5846,11
G8Y,Trois-Rivi_res Central,Quebec,46.3688,-72.58,11
G8Z,Trois-Rivi_res Northeast,Quebec,46.3648,-72.5564,11
G9A,Trois-Rivi_res East,Quebec,46.3647,-72.5558,11
G9B,Trois-Rivi_res South,Quebec,46.3111,-72.5718,11
G9C,Trois-Rivi_res West,Quebec,46.3938,-72.6534,11
G9H,Becancour,Quebec,46.3445,-72.4369,11
G9N,Shawinigan Central,Quebec,46.5429,-72.748,11
G9P,Shawinigan Southeast,Quebec,46.5258,-72.7381,11
G9R,Shawinigan Northwest,Quebec,46.576,-72.7764,11
G9T,Grand-M_re,Quebec,46.6168,-72.7336,11
G9X,La Tuque,Quebec,47.4583,-72.7729,11
H0H,Reserved (Santa Claus),Quebec,90,0,11
H0M,Akwesasne Region (Akwesasne),Quebec,45.6986,-73.5025,11
H1A,Pointe-Aux-Trembles,Quebec,45.6587,-73.5236,11
H1B,Montreal East,Quebec,45.6454,-73.5502,11
H1C,Rivi_re-des-Prairies Northeast,Quebec,45.6596,-73.5704,11
H1E,Rivi_re-Des-Prairies Southwest,Quebec,45.6595,-73.5729,11
H1G,Montreal North North,Quebec,45.6061,-73.6389,11
H1H,Montreal North South,Quebec,45.5829,-73.6524,11
H1J,Anjou West,Quebec,45.6036,-73.569,11
H1K,Anjou East,Quebec,45.6077,-73.5428,11
H1L,Mercier North,Quebec,45.5943,-73.5362,11
H1M,Mercier West,Quebec,45.5902,-73.5559,11
H1N,Mercier Southeast,Quebec,45.5719,-73.5499,11
H1P,Saint-L_onard North,Quebec,45.6105,-73.6048,11
H1R,Saint-L_onard West,Quebec,45.5844,-73.6229,11
H1S,Saint-L_onard Southeast,Quebec,45.5716,-73.5985,11
H1T,Rosemont North,Quebec,45.5653,-73.5869,11
H1V,Maisonneuve,Quebec,45.5702,-73.551,11
H1W,Hochelaga,Quebec,45.5423,-73.5616,11
H1X,Rosemont Central,Quebec,45.5577,-73.5935,11
H1Y,Rosemont South,Quebec,45.5525,-73.598,11
H1Z,Saint-Michel West,Quebec,45.5652,-73.6444,12
H2A,Saint-Michel East,Quebec,45.5583,-73.6118,12
H2B,Ahuntsic North,Quebec,45.5664,-73.647,12
H2C,Ahuntsic Central,Quebec,45.5593,-73.6719,12
H2E,Villeray Northeast,Quebec,45.5522,-73.6256,12
H2G,Petite-Patrie Northeast,Quebec,45.5434,-73.6061,12
H2H,Plateau Mont-Royal North,Quebec,45.5377,-73.5837,12
H2J,Plateau Mont-Royal North Central,Quebec,45.5289,-73.5928,12
H2K,Centre-Sud North,Quebec,45.53,-73.5672,12
H2L,Centre-Sud South,Quebec,45.5252,-73.5744,12
H2M,Ahuntsic East,Quebec,45.55,-73.6515,12
H2N,Ahuntsic Southeast,Quebec,45.5402,-73.659,12
H2P,Villeray West,Quebec,45.5409,-73.6418,12
H2R,Villeray Southeast,Quebec,45.5452,-73.6266,12
H2S,Petite-Patrie Southwest,Quebec,45.5356,-73.6144,12
H2T,Plateau Mont-Royal West,Quebec,45.5278,-73.6024,12
H2V,Outremont,Quebec,45.5298,-73.6153,12
H2W,Plateau Mont-Royal South Central,Quebec,45.5194,-73.5839,12
H2X,Plateau Mont-Royal Southeast,Quebec,45.5148,-73.5739,12
H2Y,Old Montreal,Quebec,45.508,-73.554,12
H2Z,Downtown Montreal Northeast,Quebec,45.5066,-73.5623,12
H3A,Downtown Montreal North,Quebec,45.5078,-73.5804,12
H3B,Downtown Montreal East,Quebec,45.5058,-73.5672,12
H3C,Griffintown (Includes _le Notre-Dame & _le Sainte-H_l_ne),Quebec,45.503,-73.5679,12
H3E,L'_le-Des-Soeurs,Quebec,45.4679,-73.5457,12
H3G,Downtown Montreal Southeast,Quebec,45.5019,-73.5853,12
H3H,Downtown Montreal South & West,Quebec,45.5123,-73.5967,12
H3J,Petite-Bourgogne,Quebec,45.4922,-73.5725,12
H3K,Pointe-Saint-Charles,Quebec,45.4858,-73.564,12
H3L,Ahuntsic Southwest,Quebec,45.5529,-73.6754,12
H3M,Cartierville Northeast,Quebec,45.5459,-73.6979,12
H3N,Parc-Extension,Quebec,45.5335,-73.6464,12
H3P,Mount Royal North,Quebec,45.5209,-73.653,12
H3R,Mount Royal Central,Quebec,45.5181,-73.6545,12
H3S,C_te-des-Neiges North,Quebec,45.5155,-73.6292,12
