Electoral District Number / No de circonscription,Electoral District Name,Nom de la circonscription,Political Affiliation,Appartenance politique,Candidate's Family Name / Nom de famille du candidat,Candidate's First Name / Pr_nom du candidat, Candidate's Initial(s) / Initiale(s) du candidat,Date of Receipt of Notification of Confirmation / Date de r_ception de l'avis de confirmation,Time of Receipt of Notification of Confirmation / Heure de r_ception de l'avis de confirmation
10006,St. John's East,St. John's-Est,Green Party of Canada,Le Parti Vert du Canada,Peters,David Anthony,,27-Aug-15,2:10:00
10006,St. John's East,St. John's-Est,Conservative Party of Canada,Parti conservateur du Canada,Stapleton,Deanne,,25-Sep-15,3:15:00
10006,St. John's East,St. John's-Est,Liberal Party of Canada,Parti lib_ral du Canada,Whalen,Nick,,22-Aug-15,9:32:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,New Democratic Party,Nouveau Parti d_mocratique,Cleary,Ryan,,16-Aug-15,3:39:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative Party of Canada,Parti conservateur du Canada,Krol,Marek,,23-Sep-15,3:31:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green Party of Canada,Le Parti Vert du Canada,McLean,Jackson,,24-Sep-15,12:25:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal Party of Canada,Parti lib_ral du Canada,O'Regan,Seamus,,03-Sep-15,12:10:00
11001,Cardigan,Cardigan,New Democratic Party,Nouveau Parti d_mocratique,Cann,Billy,,01-Sep-15,10:15:00
11001,Cardigan,Cardigan,Green Party of Canada,Le Parti Vert du Canada,Doyle,Teresa,,28-Aug-15,1:20:00
11001,Cardigan,Cardigan,Liberal Party of Canada,Parti lib_ral du Canada,MacAulay,Lawrence,,27-Aug-15,10:30:00
11001,Cardigan,Cardigan,Conservative Party of Canada,Parti conservateur du Canada,Patkai,Julius,,10-Sep-15,8:07:00
11001,Cardigan,Cardigan,Christian Heritage Party of Canada,Parti de l'H_ritage Chr_tien du Canada,Squires,Christene,,27-Aug-15,4:00:00
11002,Charlottetown,Charlottetown,New Democratic Party,Nouveau Parti d_mocratique,Byrne,Joe,,02-Sep-15,1:10:00
11002,Charlottetown,Charlottetown,Liberal Party of Canada,Parti lib_ral du Canada,Casey,Sean,,12-Sep-15,12:37:00
11002,Charlottetown,Charlottetown,Conservative Party of Canada,Parti conservateur du Canada,MacMillan,Ron,,03-Sep-15,3:55:00
11002,Charlottetown,Charlottetown,Green Party of Canada,Le Parti Vert du Canada,Viau,Becka,,18-Sep-15,3:00:00
11003,Egmont,Egmont,New Democratic Party,Nouveau Parti d_mocratique,Dickieson,Herb,,20-Aug-15,5:25:00
11003,Egmont,Egmont,Green Party of Canada,Le Parti Vert du Canada,Ling,Nils,,25-Sep-15,12:07:00
11003,Egmont,Egmont,Liberal Party of Canada,Parti lib_ral du Canada,Morrissey,Bobby,,19-Aug-15,5:25:00
11003,Egmont,Egmont,Conservative Party of Canada,Parti conservateur du Canada,Shea,Gail,,12-Aug-15,10:05:00
11004,Malpeque,Malpeque,Liberal Party of Canada,Parti lib_ral du Canada,Easter,Wayne,,18-Aug-15,1:45:00
11004,Malpeque,Malpeque,New Democratic Party,Nouveau Parti d_mocratique,Hayward,Leah-Jane,,26-Aug-15,11:15:00
11004,Malpeque,Malpeque,Green Party of Canada,Le Parti Vert du Canada,Lund,Lynne,,31-Aug-15,4:30:00
11004,Malpeque,Malpeque,Conservative Party of Canada,Parti conservateur du Canada,Stewart,Stephen,,17-Aug-15,11:00:00
12001,Cape Breton--Canso,Cape Breton--Canso,Green Party of Canada,Le Parti Vert du Canada,Coady,Maria Goretti,,18-Sep-15,5:00:00
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal Party of Canada,Parti lib_ral du Canada,Cuzner,Rodger,,19-Sep-15,5:45:00
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative Party of Canada,Parti conservateur du Canada,Rodgers,Adam Daniel,,12-Sep-15,11:00:00
12001,Cape Breton--Canso,Cape Breton--Canso,New Democratic Party,Nouveau Parti d_mocratique,Smith,Michelle,,19-Sep-15,5:30:00
12002,Central Nova,Nova-Centre,Conservative Party of Canada,Parti conservateur du Canada,DeLorey,Fred,,31-Aug-15,12:53:00
12002,Central Nova,Nova-Centre,Liberal Party of Canada,Parti lib_ral du Canada,Fraser,Sean,,18-Aug-15,10:54:00
12002,Central Nova,Nova-Centre,Green Party of Canada,Le Parti Vert du Canada,Hachey,David,,10-Sep-15,12:04:00
12002,Central Nova,Nova-Centre,New Democratic Party,Nouveau Parti d_mocratique,Landry,Ross,,21-Aug-15,3:14:00
12002,Central Nova,Nova-Centre,Independent,Ind_pendant,MacKenzie,Alexander J.,,18-Sep-15,3:32:00
12003,Cumberland--Colchester,Cumberland--Colchester,Conservative Party of Canada,Parti conservateur du Canada,Armstrong,Scott,,12-Aug-15,7:15:00
12003,Cumberland--Colchester,Cumberland--Colchester,Green Party of Canada,Le Parti Vert du Canada,Blanch,Jason Matthew,,22-Aug-15,3:30:00
12003,Cumberland--Colchester,Cumberland--Colchester,Liberal Party of Canada,Parti lib_ral du Canada,Casey,Bill,,25-Aug-15,12:15:00
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Ind_pendant,Jackson,Kenneth,,20-Aug-15,3:00:00
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Ind_pendant,Plett,Richard Trueman,,28-Sep-15,6:57:00
12003,Cumberland--Colchester,Cumberland--Colchester,New Democratic Party,Nouveau Parti d_mocratique,Robinson,Wendy,,28-Aug-15,5:25:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,New Democratic Party,Nouveau Parti d_mocratique,Chisholm,Robert,,20-Aug-15,4:30:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative Party of Canada,Parti conservateur du Canada,Cole,Jason,,08-Aug-15,1:00:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal Party of Canada,Parti lib_ral du Canada,Fisher,Darren,,20-Aug-15,4:30:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green Party of Canada,Le Parti Vert du Canada,Nheiley,Brynn,,31-Aug-15,2:30:00
12005,Halifax,Halifax,Marxist-Leninist Party of Canada,Parti Marxiste-L_niniste du Canada,Bezanson,Allan,,15-Sep-15,11:45:00
12005,Halifax,Halifax,Conservative Party of Canada,Parti conservateur du Canada,Carvery,Irvine,,15-Sep-15,10:45:00
12005,Halifax,Halifax,Liberal Party of Canada,Parti lib_ral du Canada,Fillmore,Andy,,28-Aug-15,1:00:00
12005,Halifax,Halifax,New Democratic Party,Nouveau Parti d_mocratique,Leslie,Megan,,19-Aug-15,9:00:00
12005,Halifax,Halifax,Green Party of Canada,Le Parti Vert du Canada,Trappenberg,Thomas,,04-Sep-15,11:59:00
12006,Halifax West,Halifax-Ouest,New Democratic Party,Nouveau Parti d_mocratique,Hussey,Joanne,,21-Aug-15,3:55:00
12006,Halifax West,Halifax-Ouest,Conservative Party of Canada,Parti conservateur du Canada,McGinnis,Michael,,25-Sep-15,11:30:00
12006,Halifax West,Halifax-Ouest,Liberal Party of Canada,Parti lib_ral du Canada,Regan,Geoff,,13-Aug-15,3:34:00
12006,Halifax West,Halifax-Ouest,Green Party of Canada,Le Parti Vert du Canada,Zurawski,Richard Henryk,,26-Sep-15,9:32:00
12007,Kings--Hants,Kings--Hants,Liberal Party of Canada,Parti lib_ral du Canada,Brison,Scott,,21-Aug-15,12:50:00
12007,Kings--Hants,Kings--Hants,Rhinoceros Party,Parti Rhinoc_ros,Brown-Hodges,Megan,,04-Sep-15,9:25:00
12007,Kings--Hants,Kings--Hants,Green Party of Canada,Le Parti Vert du Canada,Cooper,Will,,18-Sep-15,10:30:00
12007,Kings--Hants,Kings--Hants,New Democratic Party,Nouveau Parti d_mocratique,Curry,Hugh,,18-Sep-15,4:36:00
12007,Kings--Hants,Kings--Hants,Conservative Party of Canada,Parti conservateur du Canada,Morse,David,,25-Aug-15,12:09:00
12007,Kings--Hants,Kings--Hants,Independent,Ind_pendant,Twohig,Edd,,22-Sep-15,1:36:00
12007,Kings--Hants,Kings--Hants,Independent,Ind_pendant,Williams,Clifford James,,16-Sep-15,2:30:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Green Party of Canada,Le Parti Vert du Canada,Montgomery,Mike,,15-Sep-15,3:28:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Liberal Party of Canada,Parti lib_ral du Canada,Samson,Darrell,,19-Aug-15,12:06:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,New Democratic Party,Nouveau Parti d_mocratique,Stoffer,Peter,,04-Sep-15,1:53:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Conservative Party of Canada,Parti conservateur du Canada,Strickland,Robert Thomas,,04-Sep-15,4:22:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Communist Party of Canada,Parti communiste du Canada,Barry,Ryan,,11-Sep-15,3:30:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Green Party of Canada,Le Parti Vert du Canada,Biggar,Richard,,19-Sep-15,9:35:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Independent,Ind_pendant,Bruhm,Trevor,,25-Sep-15,11:00:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Conservative Party of Canada,Parti conservateur du Canada,Clark,Richard,,21-Aug-15,12:35:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,New Democratic Party,Nouveau Parti d_mocratique,Godbold,Alex,,27-Aug-15,4:15:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Liberal Party of Canada,Parti lib_ral du Canada,Jordan,Bernadette,,19-Aug-15,2:20:00
12010,Sydney--Victoria,Sydney--Victoria,Conservative Party of Canada,Parti conservateur du Canada,Chiasson,John Douglas,,10-Sep-15,11:00:00
12010,Sydney--Victoria,Sydney--Victoria,New Democratic Party,Nouveau Parti d_mocratique,Dutt,Monika,,11-Sep-15,8:03:00
12010,Sydney--Victoria,Sydney--Victoria,Liberal Party of Canada,Parti lib_ral du Canada,Eyking,Mark,,16-Sep-15,6:17:00
12010,Sydney--Victoria,Sydney--Victoria,Libertarian Party of Canada,Parti Libertarien du Canada,Hiscock,Wayne James,,21-Sep-15,4:44:00
12010,Sydney--Victoria,Sydney--Victoria,Green Party of Canada,Le Parti Vert du Canada,MacKinnon,Adrianna,,26-Aug-15,3:00:00
12011,West Nova,Nova-Ouest,New Democratic Party,Nouveau Parti d_mocratique,Foster,Greg,,05-Sep-15,10:15:00
12011,West Nova,Nova-Ouest,Liberal Party of Canada,Parti lib_ral du Canada,Fraser,Colin,,18-Aug-15,2:12:00
12011,West Nova,Nova-Ouest,Conservative Party of Canada,Parti conservateur du Canada,LeBlanc,Arnold,,20-Aug-15,3:00:00
12011,West Nova,Nova-Ouest,Green Party of Canada,Le Parti Vert du Canada,Walton,Clark,,30-Aug-15,12:30:00
13001,Acadie--Bathurst,Acadie--Bathurst,Green Party of Canada,Le Parti Vert du Canada,Breau,Dominique,,19-Aug-15,4:30:00
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal Party of Canada,Parti lib_ral du Canada,Cormier,Serge,,24-Aug-15,11:45:00
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative Party of Canada,Parti conservateur du Canada,Girouard-Riordon,Riba,,25-Sep-15,2:05:00
13001,Acadie--Bathurst,Acadie--Bathurst,New Democratic Party,Nouveau Parti d_mocratique,Godin,Jason,,20-Aug-15,11:25:00
13002,Beaus_jour,Beaus_jour,Conservative Party of Canada,Parti conservateur du Canada,Bastarache,Ann,,23-Sep-15,10:50:00
13002,Beaus_jour,Beaus_jour,New Democratic Party,Nouveau Parti d_mocratique,Boudreau,H_l_ne,,05-Sep-15,5:22:00
13002,Beaus_jour,Beaus_jour,Green Party of Canada,Le Parti Vert du Canada,King,Kevin,,29-Aug-15,10:30:00
13002,Beaus_jour,Beaus_jour,Liberal Party of Canada,Parti lib_ral du Canada,LeBlanc,Dominic,,12-Aug-15,6:00:00
13003,Fredericton,Fredericton,Conservative Party of Canada,Parti conservateur du Canada,Ashfield,Keith,,21-Aug-15,12:00:00
13003,Fredericton,Fredericton,Green Party of Canada,Le Parti Vert du Canada,Babineau,Mary Lou,,13-Aug-15,6:51:00
13003,Fredericton,Fredericton,Liberal Party of Canada,Parti lib_ral du Canada,DECourcey,Matt,,25-Aug-15,5:00:00
13003,Fredericton,Fredericton,New Democratic Party,Nouveau Parti d_mocratique,Scott-Levesque,Sharon,,08-Sep-15,3:30:00
13004,Fundy Royal,Fundy Royal,Independent,Ind_pendant,Amos,David Raymond,,28-Sep-15,3:40:00
13004,Fundy Royal,Fundy Royal,Green Party of Canada,Le Parti Vert du Canada,Coburn,Stephanie,,14-Aug-15,1:25:00
13004,Fundy Royal,Fundy Royal,Liberal Party of Canada,Parti lib_ral du Canada,Lockhart,Alaina,,19-Aug-15,1:30:00
13004,Fundy Royal,Fundy Royal,New Democratic Party,Nouveau Parti d_mocratique,McKenzie,Jennifer,,18-Aug-15,11:00:00
13004,Fundy Royal,Fundy Royal,Conservative Party of Canada,Parti conservateur du Canada,Moore,Rob,,17-Aug-15,4:36:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal Party of Canada,Parti lib_ral du Canada,Arseneault,Ren_,,26-Aug-15,11:42:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green Party of Canada,Le Parti Vert du Canada,Aubin,Fran_oise,,25-Sep-15,6:41:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,New Democratic Party,Nouveau Parti d_mocratique,L'Italien,Rosaire,,06-Sep-15,11:05:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative Party of Canada,Parti conservateur du Canada,Valcourt,Bernard,,26-Aug-15,12:36:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Green Party of Canada,Le Parti Vert du Canada,Clark,Matthew Ian,,14-Sep-15,4:27:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,New Democratic Party,Nouveau Parti d_mocratique,Colford,Patrick,,03-Sep-15,5:21:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Liberal Party of Canada,Parti lib_ral du Canada,Finnigan,Pat,,28-Aug-15,12:22:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Conservative Party of Canada,Parti conservateur du Canada,O'Neill-Gordon,Tilly,,15-Aug-15,2:20:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative Party of Canada,Parti conservateur du Canada,Goguen,Robert,,20-Aug-15,4:03:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,New Democratic Party,Nouveau Parti d_mocratique,LeBlanc,Luc,,27-Aug-15,12:10:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green Party of Canada,Le Parti Vert du Canada,Melanson,Luc,,13-Aug-15,2:15:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal Party of Canada,Parti lib_ral du Canada,Petitpas Taylor,Ginette,,20-Aug-15,12:25:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,New Democratic Party,Nouveau Parti d_mocratique,Graham,Andrew,,12-Sep-15,10:00:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal Party of Canada,Parti lib_ral du Canada,Ludwig,Karen,,01-Sep-15,9:15:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green Party of Canada,Le Parti Vert du Canada,MacIntosh,Gayla,,22-Aug-15,1:45:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative Party of Canada,Parti conservateur du Canada,Williamson,John,,21-Aug-15,11:45:00
13009,Saint John--Rothesay,Saint John--Rothesay,New Democratic Party,Nouveau Parti d_mocratique,Griffin,AJ,,04-Sep-15,11:10:00
13009,Saint John--Rothesay,Saint John--Rothesay,Liberal Party of Canada,Parti lib_ral du Canada,Long,Wayne,,03-Sep-15,2:45:00
13009,Saint John--Rothesay,Saint John--Rothesay,Green Party of Canada,Le Parti Vert du Canada,Murphy,Sharon,,16-Sep-15,3:30:00
13009,Saint John--Rothesay,Saint John--Rothesay,Conservative Party of Canada,Parti conservateur du Canada,Weston,Rodney,,03-Sep-15,4:05:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative Party of Canada,Parti conservateur du Canada,Bragdon,Richard,,13-Aug-15,11:30:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal Party of Canada,Parti lib_ral du Canada,Harvey,TJ,,18-Aug-15,12:37:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,New Democratic Party,Nouveau Parti d_mocratique,Kitchen,Robert,,10-Sep-15,12:04:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green Party of Canada,Le Parti Vert du Canada,Wishart,Terry,,24-Aug-15,3:00:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Green Party of Canada,Le Parti Vert du Canada,Beno_t,Patrick,,28-Aug-15,4:50:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Liberal Party of Canada,Parti lib_ral du Canada,Dufour,Pierre,,14-Sep-15,5:45:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Bloc Quebecois,Bloc Qu_b_cois,Ferland,Luc,,21-Aug-15,4:40:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Rhinoceros Party,Parti Rhinoc_ros,Gagnon,Mario,,22-Sep-15,7:10:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Conservative Party of Canada,Parti conservateur du Canada,H_bert,Steven,,25-Aug-15,3:15:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,New Democratic Party,Nouveau Parti d_mocratique,Saganash,Romeo,,19-Aug-15,10:00:00
24002,Abitibi--T_miscamingue,Abitibi--T_miscamingue,Green Party of Canada,Le Parti Vert du Canada,B_gin,Aline,,14-Aug-15,6:12:00
24002,Abitibi--T_miscamingue,Abitibi--T_miscamingue,Conservative Party of Canada,Parti conservateur du Canada,Fortin,Benoit,,10-Sep-15,10:19:00
24002,Abitibi--T_miscamingue,Abitibi--T_miscamingue,Rhinoceros Party,Parti Rhinoc_ros,G_linas,Pascal Le Fou,,23-Sep-15,2:05:00
24002,Abitibi--T_miscamingue,Abitibi--T_miscamingue,New Democratic Party,Nouveau Parti d_mocratique,Moore,Christine,,18-Aug-15,6:54:00
24002,Abitibi--T_miscamingue,Abitibi--T_miscamingue,Bloc Quebecois,Bloc Qu_b_cois,Moreau,Yvon,,29-Aug-15,8:49:00
24002,Abitibi--T_miscamingue,Abitibi--T_miscamingue,Liberal Party of Canada,Parti lib_ral du Canada,Thibault,Claude,,01-Sep-15,9:52:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Bloc Quebecois,Bloc Qu_b_cois,Bourdon,Nicolas,,25-Aug-15,2:30:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Rhinoceros Party,Parti Rhinoc_ros,Gascon-David,Catherine,,28-Sep-15,4:30:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Liberal Party of Canada,Parti lib_ral du Canada,Joly,M_lanie,,06-Sep-15,11:00:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Green Party of Canada,Le Parti Vert du Canada,Mercier,Gilles,,14-Aug-15,8:15:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Conservative Party of Canada,Parti conservateur du Canada,Moughrabi,Wiliam,,16-Aug-15,4:00:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,New Democratic Party,Nouveau Parti d_mocratique,Mourani,Maria,,20-Aug-15,1:00:00
24004,Alfred-Pellan,Alfred-Pellan,Green Party of Canada,Le Parti Vert du Canada,Briguene,Lynda,,10-Sep-15,2:30:00
24004,Alfred-Pellan,Alfred-Pellan,New Democratic Party,Nouveau Parti d_mocratique,Dor_ Lefebvre,Rosane,,20-Aug-15,11:00:00
24004,Alfred-Pellan,Alfred-Pellan,Liberal Party of Canada,Parti lib_ral du Canada,Iacono,Angelo,,30-Aug-15,8:35:00
24004,Alfred-Pellan,Alfred-Pellan,Independent,Ind_pendant,Isopo,Renata,,28-Sep-15,9:00:00
24004,Alfred-Pellan,Alfred-Pellan,Conservative Party of Canada,Parti conservateur du Canada,Purcarus,Gabriel,,15-Aug-15,10:00:00
24004,Alfred-Pellan,Alfred-Pellan,Bloc Quebecois,Bloc Qu_b_cois,St-Hilaire,Daniel,,14-Aug-15,6:00:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Bloc Quebecois,Bloc Qu_b_cois,Beauchamp,Jonathan,,17-Sep-15,1:50:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,New Democratic Party,Nouveau Parti d_mocratique,Cr_te,Chantal,,02-Sep-15,2:30:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Conservative Party of Canada,Parti conservateur du Canada,Hup_-Labelle,Maxime,,24-Aug-15,4:55:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Green Party of Canada,Le Parti Vert du Canada,Lamarche,Audrey,,25-Sep-15,3:21:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Liberal Party of Canada,Parti lib_ral du Canada,Lauzon,St_phane,,24-Aug-15,7:33:00
24006,Avignon--La Mitis--Matane--Matap_dia,Avignon--La Mitis--Matane--Matap_dia,New Democratic Party,Nouveau Parti d_mocratique,Charest,Jo_l,,29-Aug-15,9:15:00
24006,Avignon--La Mitis--Matane--Matap_dia,Avignon--La Mitis--Matane--Matap_dia,Bloc Quebecois,Bloc Qu_b_cois,Fleury-Samson,K_dina,,18-Aug-15,6:05:00
24006,Avignon--La Mitis--Matane--Matap_dia,Avignon--La Mitis--Matane--Matap_dia,Strength in Democracy,Forces et D_mocratie,Fortin,Jean-Fran_ois,,07-Aug-15,5:45:00
24006,Avignon--La Mitis--Matane--Matap_dia,Avignon--La Mitis--Matane--Matap_dia,Liberal Party of Canada,Parti lib_ral du Canada,Mass_,R_mi,,19-Aug-15,10:30:00
24006,Avignon--La Mitis--Matane--Matap_dia,Avignon--La Mitis--Matane--Matap_dia,Rhinoceros Party,Parti Rhinoc_ros,Normand,êric,,25-Sep-15,2:57:00
24006,Avignon--La Mitis--Matane--Matap_dia,Avignon--La Mitis--Matane--Matap_dia,Conservative Party of Canada,Parti conservateur du Canada,Savoie,Andr_,,17-Sep-15,3:16:00
24006,Avignon--La Mitis--Matane--Matap_dia,Avignon--La Mitis--Matane--Matap_dia,Green Party of Canada,Le Parti Vert du Canada,Springle,Sherri,,28-Sep-15,10:53:00
24007,Beauce,Beauce,Conservative Party of Canada,Parti conservateur du Canada,Bernier,Maxime,,14-Aug-15,3:07:00
24007,Beauce,Beauce,Green Party of Canada,Le Parti Vert du Canada,MacDonald,C_line Brown,,26-Sep-15,11:47:00
24007,Beauce,Beauce,New Democratic Party,Nouveau Parti d_mocratique,Royer,Daniel,,04-Sep-15,5:00:00
24007,Beauce,Beauce,Bloc Quebecois,Bloc Qu_b_cois,Trudel,St_phane,,04-Sep-15,3:00:00
24007,Beauce,Beauce,Liberal Party of Canada,Parti lib_ral du Canada,Veilleux,Adam,,14-Aug-15,4:10:00
24008,Beauport--Limoilou,Beauport--Limoilou,Libertarian Party of Canada,Parti Libertarien du Canada,Bedard,Francis,,26-Sep-15,1:40:00
24008,Beauport--Limoilou,Beauport--Limoilou,Bloc Quebecois,Bloc Qu_b_cois,Berberi,Doni,,28-Aug-15,6:15:00
24008,Beauport--Limoilou,Beauport--Limoilou,Liberal Party of Canada,Parti lib_ral du Canada,Bujold,Antoine,,01-Sep-15,2:15:00
